Serial Number,Model,Array_name (NA if not in an array),Condition,Status,Purchase Date,Hydrophone Sensitivity dB re: 1V/uPa,Current mA,Settings Doc,Calibration Doc,Current Location (if not in an array),Current Contact,Comments,,,,,,,,,,,,,,,,
856001,HTI-96-MIN,,,,11/16/2012,-160.8,0.75,,,Lab,shannon.rankin@noaa.gov,,EXAMPLE,,,,,,,,,,,,,,,
856040,HTI-96-MIN,301_9296,,,6/10/16,-164.7,1.19,,,,,,,,,,,,,,,,,,,,,
856073,HTI-92-WB,301_9296,,,6/19/17,-154.8,1.17,,,,,,,,,,,,,,,,,,,,,
856156,HTI-92-WB,A02_9299,Good,,8/27/2021,-155.2,1.14,,,,,Last deployment 6/21/22 CCC cruise,,,,,,,,,,,,,,,,
856167,HTI-99-HF,A02_9299,Good,,9/23/2021,-159.8,1.14,,,,,Last deployment 6/21/22 CCC cruise,,,,,,,,,,,,,,,,
856165,HTI-92-WB,B02_9299,Good,,8/27/2021,-155.4,1.19,,,,,Last deployment 6/21/22 CCC cruise,,,,,,,,,,,,,,,,
856173,HTI-99-HF,B02_9299,Good,,9/29/2021,-159.5,1.18,,,,,Last deployment 6/21/22 CCC cruise,,,,,,,,,,,,,,,,
856155,HTI-92-WB,C02_9299,Good,Loan,8/27/2021,-155.5,1.1,,,HSU,blair.Winnacott@humboldt.edu,"Last deployment 9/15/22 THL cruise (Blair, Humboldt)",,,,,,,,,,,,,,,,
856166,HTI-99-HF,C02_9299,Good,Loan,9/22/2021,-159.3,1.23,,,HSU,blair.Winnacott@humboldt.edu,"Last deployment 9/9/22 THL cruise (Blair, Humboldt)",,,,,,,,,,,,,,,,
856041,HTI-96-MIN,D01_9296,,,6/10/16,-164.5,1.17,,,,,Last recorded at Lab,,,,,,,,,,,,,,,,
856095,HTI-92-WB,D01_9296,,,5/3/2018,-155.2,1.13,,,,,Last recorded at Lab,,,,,,,,,,,,,,,,
856162,HTI-92-WB,D02_9299,Good,Loan,8/27/2021,-155.3,1.17,,,HSU,blair.Winnacott@humboldt.edu,"Last deployment 9/9/22 THL cruise (Blair, Humboldt)",,,,,,,,,,,,,,,,
856168,HTI-99-HF,D02_9299,Good,Loan,9/24/2021,-159.6,1.08,,,HSU,blair.Winnacott@humboldt.edu,"Last deployment 9/9/22 THL cruise (Blair, Humboldt)",,,,,,,,,,,,,,,,
856163,HTI-92-WB,E02_9299,Good,,8/27/2021,-155.5,1.15,,,,,Last deployment 6/21/22 CCC cruise,,,,,,,,,,,,,,,,
856171,HTI-99-HF,E02_9299,Good,,9/27/2021,-159.7,1.1,,,,,Last deployment 6/21/22 CCC cruise,,,,,,,,,,,,,,,,
856164,HTI-92-WB,F02_9299,Good,,8/27/2021,-155.1,1.22,,,,,Last deployment 6/21/22 CCC cruise,,,,,,,,,,,,,,,,
856175,HTI-99-HF,F02_9299,Good,,10/1/2021,-159.9,1.11,,,,,Last deployment 6/21/22 CCC cruise,,,,,,,,,,,,,,,,
